id,gameId,league,homeTeam,awayTeam,awayScore,homeScore,isGameOfTheWeek,manual_gotw,seasonIndex,stageIndex,weekIndex,status,simmed,scheduled_date_time,home_team_spread,away_team_spread
4083479,543031629,FOOTBALL LATE NIGHTS,Bears,Colts,0,0,False,False,1,0,0,1,False,,0.0,0.0
4083480,543031620,FOOTBALL LATE NIGHTS,Lions,Ravens,0,0,False,False,1,0,0,1,False,,0.0,0.0
4083486,543031624,FOOTBALL LATE NIGHTS,Dolphins,Cardinals,0,0,False,False,1,0,0,1,False,,0.0,0.0
4083487,543031628,FOOTBALL LATE NIGHTS,Bengals,Cowboys,0,0,False,False,1,0,0,1,False,,0.0,0.0
4083482,543031616,FOOTBALL LATE NIGHTS,Titans,Rams,0,0,False,False,1,0,0,1,False,,0.0,0.0
4083483,543031619,FOOTBALL LATE NIGHTS,Commanders,Browns,0,0,False,False,1,0,0,1,False,,0.0,0.0
4083485,543031623,FOOTBALL LATE NIGHTS,Eagles,Raiders,0,0,False,False,1,0,0,1,False,,0.0,0.0
4083478,543031627,FOOTBALL LATE NIGHTS,Bills,Packers,0,0,True,False,1,0,0,1,False,,0.0,0.0
4083488,543031614,FOOTBALL LATE NIGHTS,Texans,Jets,0,0,False,False,1,0,0,1,False,,0.0,0.0
4083489,543031615,FOOTBALL LATE NIGHTS,Vikings,49ers,0,0,False,False,1,0,0,1,False,,0.0,0.0
4083490,543031617,FOOTBALL LATE NIGHTS,Steelers,Buccaneers,0,0,False,False,1,0,0,1,False,,0.0,0.0
4083491,543031618,FOOTBALL LATE NIGHTS,Saints,Chiefs,0,0,False,False,1,0,0,1,False,,0.0,0.0
4083484,543031622,FOOTBALL LATE NIGHTS,Giants,Patriots,0,0,False,False,1,0,0,1,False,,0.0,0.0
4083492,543031625,FOOTBALL LATE NIGHTS,Chargers,Falcons,0,0,False,False,1,0,0,1,False,,0.0,0.0
4083493,543031626,FOOTBALL LATE NIGHTS,Broncos,Seahawks,0,0,False,False,1,0,0,1,False,,0.0,0.0
4083481,543031621,FOOTBALL LATE NIGHTS,Jaguars,Panthers,0,0,False,False,1,0,0,1,False,,0.0,0.0
