id,team,seasonIndex,stageIndex,weekIndex,totalLosses,totalTies,totalWins,rank,prevRank,ptsAgainstRank,ptsForRank,offPassYdsRank,offRushYdsRank,offTotalYdsRank,defPassYdsRank,defRushYdsRank,defTotalYdsRank
8214698,Ravens,1,0,0,0,0,0,0,0,26,7,7,7,7,26,26,26
8214727,49ers,1,0,0,0,0,0,0,0,1,32,32,32,32,1,1,1
8214711,Cardinals,1,0,0,0,0,0,0,0,8,25,25,25,25,8,8,8
8214720,Broncos,1,0,0,0,0,0,0,0,5,28,28,28,28,5,5,5
8214699,Steelers,1,0,0,0,0,0,0,0,29,4,4,4,4,29,29,29
8214717,Dolphins,1,0,0,0,0,0,0,0,14,19,19,19,19,14,14,14
8214726,Commanders,1,0,0,0,0,0,0,0,12,21,21,21,21,12,12,12
8214716,Colts,1,0,0,0,0,0,0,0,11,22,22,22,22,11,11,11
8214704,Vikings,1,0,0,0,0,0,0,0,32,1,1,1,1,32,32,32
8214700,Browns,1,0,0,0,0,0,0,0,6,27,27,27,27,6,6,6
8214701,Jets,1,0,0,0,0,0,0,0,19,14,14,14,14,19,19,19
8214703,Chiefs,1,0,0,0,0,0,0,0,10,23,23,23,23,10,10,10
8214706,Panthers,1,0,0,0,0,0,0,0,22,11,11,11,11,22,22,22
8214707,Saints,1,0,0,0,0,0,0,0,27,6,6,6,6,27,27,27
8214710,Giants,1,0,0,0,0,0,0,0,17,16,16,16,16,17,17,17
8214712,Bengals,1,0,0,0,0,0,0,0,3,30,30,30,30,3,3,3
8214713,Jaguars,1,0,0,0,0,0,0,0,18,15,15,15,15,18,18,18
8214715,Texans,1,0,0,0,0,0,0,0,30,3,3,3,3,30,30,30
8214719,Bills,1,0,0,0,0,0,0,0,4,29,29,29,29,4,4,4
8214722,Lions,1,0,0,0,0,0,0,0,20,13,13,13,13,20,20,20
8214723,Packers,1,0,0,0,0,0,0,0,21,12,12,12,12,21,21,21
8214724,Bears,1,0,0,0,0,0,0,0,2,31,31,31,31,2,2,2
8214721,Chargers,1,0,0,0,0,0,0,0,9,24,24,24,24,9,9,9
8214728,Rams,1,0,0,0,0,0,0,0,25,8,8,8,8,25,25,25
8214718,Patriots,1,0,0,0,0,0,0,0,23,10,10,10,10,23,23,23
8214708,Buccaneers,1,0,0,0,0,0,0,0,7,26,26,26,26,7,7,7
8214714,Titans,1,0,0,0,0,0,0,0,31,2,2,2,2,31,31,31
8214702,Raiders,1,0,0,0,0,0,0,0,24,9,9,9,9,24,24,24
8214705,Falcons,1,0,0,0,0,0,0,0,16,17,17,17,17,16,16,16
8214729,Seahawks,1,0,0,0,0,0,0,0,28,5,5,5,5,28,28,28
8214725,Cowboys,1,0,0,0,0,0,0,0,13,20,20,20,20,13,13,13
8214709,Eagles,1,0,0,0,0,0,0,0,15,18,18,18,18,15,15,15
8219110,Steelers,1,0,1,1,0,0,25,0,20,23,7,21,9,17,31,27
8219087,Falcons,1,0,1,1,0,0,19,0,19,18,14,14,11,16,13,14
8219111,Rams,1,0,1,1,0,0,23,0,16,25,27,15,25,29,24,29
8219091,Eagles,1,0,1,0,0,1,8,0,10,4,5,1,1,4,9,4
8219089,Saints,1,0,1,1,0,0,18,0,28,8,22,19,23,21,17,23
8219108,Chargers,1,0,1,0,0,1,14,0,15,14,17,20,19,19,19,22
8219107,Seahawks,1,0,1,0,0,1,6,0,6,5,19,23,22,13,2,5
8219097,Colts,1,0,1,0,0,1,7,0,2,10,25,3,15,3,22,6
8219098,Dolphins,1,0,1,0,0,1,11,0,11,13,20,6,12,20,3,9
8219085,Chiefs,1,0,1,0,0,1,16,0,24,7,12,17,10,11,14,10
8219103,Bears,1,0,1,1,0,0,28,0,23,31,30,11,27,8,30,18
8219088,Panthers,1,0,1,0,0,1,13,0,4,21,18,12,13,1,16,3
8219102,Packers,1,0,1,1,0,0,20,0,30,6,24,4,16,31,23,31
8219109,Raiders,1,0,1,1,0,0,26,0,29,24,29,24,29,28,32,32
8219101,Lions,1,0,1,0,0,1,4,0,5,1,8,7,7,2,4,1
8219100,Broncos,1,0,1,1,0,0,29,0,27,28,21,31,28,14,10,11
8219099,Bills,1,0,1,0,0,1,12,0,26,3,2,10,2,9,27,17
8219082,Ravens,1,0,1,1,0,0,31,0,32,27,31,29,32,25,26,26
8219113,Titans,1,0,1,0,0,1,10,0,8,16,4,9,4,6,18,8
8219106,49ers,1,0,1,0,0,1,1,0,7,19,16,18,17,22,7,12
