team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
49ers,SF,14,HB,551027721,Isaac Guerendo,1,0,10091,3,1,0.70,1,100.00,0,7,0,5,7,5.00,7.00,2.33
49ers,SF,14,TE,551028726,Albert Okwuegbunam,5,0,490,81,2,0.90,2,100.00,0,5,0,4,9,2.00,4.50,1.25
49ers,SF,14,WR,551026717,Brandon Aiyuk,5,0,71,11,6,78.50,25,97.22,1,57,7,129,365,5.16,14.60,62.32
49ers,SF,14,WR,551029058,Deebo Samuel Sr,6,0,9618,1,6,27.10,24,100.00,0,26,1,75,245,3.12,10.21,40.11
49ers,SF,14,WR,551028226,Christian Kirk,7,0,8963,4,5,26.10,20,100.00,0,26,2,58,213,2.90,10.65,32.98
49ers,SF,14,HB,551028440,Christian McCaffrey,8,0,8655,23,5,18.80,17,100.00,0,43,1,107,185,6.29,10.88,36.30
49ers,SF,14,TE,551028229,George Kittle,8,0,8622,85,6,42.60,37,93.98,2,26,1,109,406,2.95,10.97,57.73
Bears,CHI,0,HB,551030069,Quinshon Judkins,0,0,10356,25,4,13.50,7,100.00,0,20,0,52,53,7.43,7.57,5.54
Bears,CHI,0,WR,551030084,Tez Johnson,0,0,4090,89,6,52.10,20,97.62,1,72,5,136,412,6.80,20.60,71.10
Bears,CHI,0,WR,551028703,Rome Odunze,1,0,10199,15,6,26.70,19,83.61,4,27,2,47,279,2.47,14.68,42.63
Bears,CHI,0,TE,551029427,Tommy Tremble,4,0,1376,82,1,0.90,1,100.00,0,9,0,7,9,7.00,9.00,3.00
Bears,CHI,0,TE,551028232,Cole Kmet,5,0,711,85,5,29.20,14,70.00,6,65,2,118,172,8.43,12.29,19.69
Bears,CHI,0,HB,551029299,D'Andre Swift,5,0,599,4,3,8.70,9,100.00,0,19,0,62,75,6.89,8.33,19.50
Bears,CHI,0,WR,551028585,DJ Moore,7,0,8995,2,6,50.90,27,100.00,0,57,4,134,420,4.96,15.56,69.88
Bears,CHI,0,FB,551028957,Patrick Ricard,8,0,9274,42,2,0.90,2,100.00,0,5,0,4,9,2.00,4.50,3.00
Bengals,CIN,1,HB,551030126,Nicholas Singleton,0,0,4222,10,5,21.30,13,92.14,2,53,1,93,171,7.15,13.15,33.06
Bengals,CIN,1,TE,551026728,Erick All Jr,1,0,9997,83,4,15.50,5,100.00,0,30,1,45,95,9.00,19.00,18.58
Bengals,CIN,1,TE,551028325,Isaiah Likely,3,0,1807,82,5,25.00,13,87.00,3,35,1,55,190,4.23,14.62,30.25
Bengals,CIN,1,WR,551027150,Ja'Marr Chase,4,0,1370,1,6,133.80,54,89.74,6,78,12,439,1163,8.13,21.54,214.33
Bengals,CIN,1,WR,551027871,Tee Higgins,5,0,351,5,5,34.90,24,97.14,1,77,1,180,355,7.50,14.79,69.38
Bengals,CIN,1,TE,551029056,Drew Sample,6,0,9617,89,1,0.40,1,100.00,0,4,0,12,4,12.00,4.00,0.67
Bengals,CIN,1,WR,551027025,Marquise Brown,6,0,9402,88,6,44.20,16,94.45,1,39,4,64,312,4.00,19.50,60.83
Bills,BUF,2,WR,551027197,Keon Coleman,1,0,10038,0,5,41.60,21,100.00,0,55,1,127,370,6.05,17.62,90.20
Bills,BUF,2,HB,551027318,Ray Davis,1,0,10051,22,2,21.70,3,100.00,0,26,0,14,36,4.67,12.00,8.44
Bills,BUF,2,TE,551028215,Dalton Kincaid,2,0,2277,86,5,14.00,18,93.33,2,63,0,86,233,4.78,12.94,49.64
Bills,BUF,2,HB,551027221,James Cook,3,0,1304,4,5,29.40,23,94.92,2,22,1,124,193,5.39,8.39,32.04
Bills,BUF,2,WR,551029110,Khalil Shakir,3,0,1942,10,5,31.60,24,89.14,3,29,4,98,325,4.08,13.54,63.60
Bills,BUF,2,WR,551027754,KJ Hamler,5,0,739,19,2,10.00,2,100.00,0,27,1,2,40,1.00,20.00,8.50
Bills,BUF,2,FB,551026868,Andrew Beck,6,0,89,41,1,0.40,1,100.00,0,4,0,0,4,0.00,4.00,1.00
Bills,BUF,2,TE,551028237,Dawson Knox,6,0,9546,88,3,13.70,5,91.67,1,30,1,23,77,4.60,15.40,11.16
Bills,BUF,2,WR,551029059,Curtis Samuel,8,0,8716,1,5,43.30,25,92.78,2,17,3,76,270,3.04,10.80,52.60
Broncos,DEN,3,WR,551030161,Caullin Lacy,0,0,10329,5,4,13.90,13,100.00,0,22,0,45,139,3.46,10.69,31.20
Broncos,DEN,3,WR,551030461,Jaylin Lane,0,0,3917,83,1,8.70,1,100.00,0,27,1,4,27,4.00,27.00,6.75
Broncos,DEN,3,HB,551027475,Audric Estime,1,0,10067,23,1,0.30,1,100.00,0,3,0,2,3,2.00,3.00,1.00
Broncos,DEN,3,TE,551027267,Devin Culp,1,0,10047,80,4,18.00,19,97.50,1,20,0,60,180,3.16,9.47,40.75
Broncos,DEN,3,HB,551028496,Jaleel McLaughlin,2,0,10419,38,4,37.50,7,100.00,0,9,0,29,46,4.14,6.57,8.43
Broncos,DEN,3,WR,551029630,Jameson Williams,3,0,2033,9,5,80.00,26,93.50,2,70,7,151,380,5.81,14.62,69.85
Broncos,DEN,3,HB,551029632,Javonte Williams,4,0,1118,33,4,31.80,9,100.00,0,49,1,78,89,8.67,9.89,21.70
Broncos,DEN,3,TE,551029424,Adam Trautman,5,0,622,82,1,1.00,1,100.00,0,10,0,2,10,2.00,10.00,3.33
Broncos,DEN,3,WR,551028526,D.K. Metcalf,6,0,9569,88,5,38.00,16,100.00,0,29,2,60,260,3.75,16.25,54.95
Browns,CLE,4,HB,551027551,Jerome Ford,3,0,1604,34,4,4.60,5,100.00,0,19,0,23,44,4.60,8.80,7.67
Browns,CLE,4,WR,551028587,Elijah Moore,4,0,1162,8,5,18.60,14,86.67,2,31,0,67,240,4.79,17.14,42.00
Browns,CLE,4,WR,551026791,Tutu Atwell,4,0,1315,5,6,21.60,19,85.56,3,44,0,79,302,4.16,15.89,52.74
Browns,CLE,4,TE,551027048,Harrison Bryant,5,0,193,84,1,2.00,1,100.00,0,20,0,13,20,13.00,20.00,4.00
Browns,CLE,4,WR,551028057,Jerry Jeudy,5,0,392,3,6,32.90,16,91.67,3,44,2,91,279,5.69,17.44,56.50
Browns,CLE,4,HB,551027162,Nick Chubb,7,0,8846,24,6,38.70,9,100.00,0,58,1,44,122,4.89,13.56,24.81
Browns,CLE,4,TE,551028681,David Njoku,8,0,8674,85,6,66.50,41,93.56,3,38,7,146,561,3.56,13.68,106.83
Buccaneers,TB,5,TE,551030187,Caden Prieskorn,0,0,4196,86,3,4.80,3,100.00,0,26,0,11,48,3.67,16.00,9.87
Buccaneers,TB,5,WR,551030053,Evan Stewart,0,0,3347,5,5,57.40,24,91.79,3,61,4,127,501,5.29,20.88,124.28
Buccaneers,TB,5,HB,551027987,Bucky Irving,1,0,10113,7,3,23.30,4,100.00,0,8,0,18,21,4.50,5.25,3.36
Buccaneers,TB,5,TE,551028755,Cade Otton,3,0,1872,88,5,17.10,24,91.56,3,30,1,104,294,4.33,12.25,59.32
Buccaneers,TB,5,HB,551029593,Rachaad White,3,0,2028,1,5,12.80,13,93.33,1,39,0,85,163,6.54,12.54,37.44
Buccaneers,TB,5,WR,551027662,Chris Godwin,8,0,8567,14,5,78.90,43,91.43,5,60,9,287,735,6.67,17.09,149.60
Buccaneers,TB,5,WR,551027486,Mike Evans,11,0,6407,13,5,26.70,28,76.67,4,66,5,88,354,3.14,12.64,71.52
